Wall time,Step,Value
1677511282.9021935,8192,-362.4187316894531
1677511284.4150414,10240,-306.8193054199219
1677511292.6170793,22528,-63.71775817871094
1677511298.2282002,30720,-49.265262603759766
1677511299.4766076,32768,-42.91561508178711
1677511303.5885634,38912,-31.230945587158203
1677511305.1632388,40960,-27.79874038696289
1677511306.4505718,43008,-26.314897537231445
1677511309.2491312,47104,-23.07771110534668
1677511310.5036178,49152,-21.929765701293945
1677511314.8395495,55296,-17.16432762145996
1677511316.129649,57344,-16.155181884765625
1677511324.3179145,69632,-12.564867973327637
1677511331.296419,79872,-10.493168830871582
1677511334.0807462,83968,-9.849217414855957
1677511343.7487192,98304,-9.443744659423828
1677511345.2903879,100352,-9.284374237060547
1677511346.593846,102400,-9.044031143188477
1677511349.3822105,106496,-8.77520751953125
1677511353.454065,112640,-8.664680480957031
1677511357.5739865,118784,-8.577021598815918
1677511361.6571534,124928,-8.579272270202637
1677511363.2025964,126976,-8.599470138549805
1677511364.47465,129024,-8.546626091003418
1677511366.0057635,131072,-8.481393814086914
1677511368.8071692,135168,-8.420721054077148
1677511370.0550299,137216,-8.420166015625
1677511371.31527,139264,-8.854236602783203
1677511372.8210459,141312,-10.072381973266602
1677511375.6051497,145408,-11.057599067687988
1677511376.893837,147456,-11.413244247436523
1677511385.0096083,159744,-9.493375778198242
1677511387.7748375,163840,-9.327160835266113
1677511389.2997007,165888,-9.228940963745117
1677511391.7947488,169984,-8.97557544708252
1677511396.1102006,176128,-8.703658103942871
1677511401.4517214,184320,-8.52138614654541
1677511415.0942268,204800,-8.502145767211914
1677511416.6296985,206848,-8.526825904846191
1677511420.7017565,212992,-8.554826736450195
1677511424.7554128,219136,-9.354264259338379
1677511426.28627,221184,-9.568503379821777
1677511429.0732083,225280,-9.6785306930542
1677511438.8419259,239616,-8.577407836914062
1677511445.7303655,249856,-8.477473258972168
1677511451.3010032,258048,-8.55803108215332
1677511452.859746,260096,-8.659427642822266
1677511455.3940952,264192,-8.5919189453125
1677511458.1867194,268288,-8.43528938293457
1677511459.7134464,270336,-8.349272727966309
1677511466.5064569,280576,-8.365730285644531
1677511467.790156,282624,-8.389375686645508
1677511477.5560014,296960,-33.32172393798828
1677511480.377823,301056,-49.44176483154297
1677511481.6543264,303104,-56.9715576171875
1677511485.8322144,309248,-102.35291290283203
1677511495.5109282,323584,-197.35508728027344
1677511499.5277827,329728,-186.8682098388672
1677511502.3132224,333824,-196.92811584472656
1677511505.0717611,337920,-192.39297485351562
1677511513.3751562,350208,-104.44496154785156
1677511514.6778402,352256,-94.25099182128906
1677511515.9638054,354304,-90.6057357788086
1677511520.2576258,360448,-88.7518310546875
1677511521.5504265,362496,-87.85075378417969
1677511522.8663023,364544,-85.32589721679688
1677511528.4715583,372736,-62.98468780517578
1677511532.4702687,378880,-54.20698547363281
1677511533.987426,380928,-53.97092056274414
1677511535.2916296,382976,-52.93684768676758
1677511540.9832575,391168,-43.606971740722656
1677511542.3269863,393216,-40.830711364746094
1677511543.8934228,395264,-38.86186981201172
1677511547.979715,401408,-33.2746467590332
1677511553.2987194,409600,-26.961328506469727
1677511557.6392524,415744,-24.155424118041992
1677511558.930569,417792,-23.445655822753906
1677511560.233213,419840,-22.572757720947266
1677511561.7907465,421888,-21.73103904724121
1677511564.609329,425984,-20.619386672973633
1677511567.508254,430080,-19.954666137695312
1677511570.0842733,434176,-18.970861434936523
1677511572.945495,438272,-17.651592254638672
1677511575.7649019,442368,-16.35076141357422
1677511577.055705,444416,-15.657487869262695
1677511581.362675,450560,-14.146753311157227
1677511582.6399784,452608,-13.66763687133789
1677511583.8959658,454656,-13.377328872680664
1677511585.4002922,456704,-13.040377616882324
1677511588.1611974,460800,-12.390576362609863
1677511594.9778204,471040,-10.651970863342285
1677511605.8772233,487424,-9.834075927734375
1677511608.6541579,491520,-9.69271469116211
1677511611.4480708,495616,-9.539257049560547
1677511615.5509498,501760,-9.284069061279297
1677511616.8393655,503808,-9.180500030517578
1677511618.3935144,505856,-9.118432998657227
1677511628.1477563,520192,-9.58083724975586
1677511629.4543815,522240,-9.506162643432617
1677511635.159913,530432,-9.069401741027832
1677511636.4191875,532480,-9.007816314697266
1677511637.6829922,534528,-8.963394165039062
1677511640.477998,538624,-8.94311237335205
1677511651.8031058,555008,-8.766535758972168
1677511653.0535865,557056,-8.751757621765137
1677511657.1054523,563200,-8.577774047851562
1677511659.9292693,567296,-8.617520332336426
1677511662.7613144,571392,-8.607283592224121
1677511665.5930564,575488,-8.471325874328613
1677511668.1760044,579584,-8.432745933532715
1677511669.7551138,581632,-8.42210865020752
1677511672.6023598,585728,-8.429549217224121
1677511675.2036219,589824,-8.429598808288574
1677511676.7793565,591872,-8.46733283996582
1677511679.6311738,595968,-8.507508277893066
1677511686.5904202,606208,-8.506126403808594
1677511687.8743439,608256,-8.566789627075195
1677511689.4571614,610304,-8.61496353149414
1677511690.7793024,612352,-8.638110160827637
1677511701.7512593,628736,-8.474865913391113
1677511704.5756133,632832,-8.466464042663574
1677511705.838123,634880,-8.439352989196777
1677511710.106422,641024,-8.414895057678223
1677511715.5435133,649216,-8.3816556930542
1677511718.303448,653312,-8.34212875366211
1677511719.8304613,655360,-8.309066772460938
1677511723.9126713,661504,-8.26816177368164
1677511726.7551806,665600,-8.26434326171875
1677511733.6382556,675840,-9.779658317565918
1677511736.1976738,679936,-9.705533027648926
1677511737.7393548,681984,-9.5121488571167
1677511744.6797206,692224,-8.667720794677734
1677511745.9945867,694272,-8.63050365447998
1677511748.7873755,698368,-8.521639823913574
1677511752.887152,704512,-8.306300163269043
1677511755.6814046,708608,-8.25212287902832
1677511757.2077355,710656,-8.241775512695312
1677511762.6119916,718848,-8.23415470123291
1677511765.4349332,722944,-8.177279472351074
1677511766.719603,724992,-8.140323638916016
1677511768.2849889,727040,-8.151906967163086
1677511773.9168518,735232,-8.171666145324707
1677511779.2275743,743424,-8.124534606933594
1677511780.783896,745472,-8.10897445678711
1677511782.099233,747520,-8.11023998260498
1677511783.4160516,749568,-8.118727684020996
1677511784.9534943,751616,-8.115199089050293
1677511786.2270908,753664,-8.104791641235352
1677511795.7762542,768000,-8.614080429077148
1677511799.9038086,774144,-8.453533172607422
1677511801.4954376,776192,-8.398933410644531
1677511812.551995,792576,-8.159074783325195
1677511818.2293246,800768,-8.148353576660156
1677511819.5199351,802816,-8.155210494995117
1677511820.8273764,804864,-8.14467716217041
1677511822.3360007,806912,-8.133926391601562
1677511823.5887923,808960,-8.10821533203125
1677511827.9127538,815104,-8.06770133972168
1677511834.8376243,825344,-8.148821830749512
1677511837.4082105,829440,-8.169569969177246
1677511842.992325,837632,-8.131486892700195
1677511844.2839143,839680,-8.121607780456543
1677511849.8926368,847872,-8.153926849365234
1677511851.1931276,849920,-8.16327953338623
1677511852.7225838,851968,-8.169937133789062
1677511856.852385,858112,-8.164748191833496
1677511861.0297604,864256,-8.144730567932129
1677511862.5497835,866304,-8.1222562789917
1677511866.7287726,872448,-8.110383987426758
1677511868.0138526,874496,-8.090924263000488
1677511873.658169,882688,-8.050312995910645
1677511880.6017303,892928,-8.101304054260254
1677511881.9108179,894976,-8.100728988647461
1677511883.4355364,897024,-8.093958854675293
1677511886.2129803,901120,-8.148680686950684
1677511887.4648106,903168,-8.112768173217773
1677511889.018223,905216,-8.09704303741455
1677511891.5171175,909312,-8.065620422363281
1677511893.0563421,911360,-8.045988082885742
1677511894.303953,913408,-8.075186729431152
1677511895.812492,915456,-8.0911226272583
1677511901.1240973,923648,-8.078514099121094
1677511903.9140084,927744,-8.054361343383789
1677511905.1740084,929792,-8.049918174743652
1677511906.707829,931840,-8.027432441711426
1677511909.5714219,935936,-8.026932716369629
1677511912.3957257,940032,-8.011404991149902
1677511914.9463387,944128,-8.019429206848145
1677511916.5072653,946176,-8.003840446472168
1677511921.8803816,954368,-7.92965030670166
1677511923.4097626,956416,-7.933254241943359
1677511926.1735978,960512,-7.954046726226807
1677511928.6903164,964608,-8.021595001220703
1677511934.3567216,972800,-8.201754570007324
1677511935.6363878,974848,-8.153919219970703
1677511939.9899745,980992,-7.957138538360596
1677511941.2743752,983040,-8.004704475402832
1677511942.7777805,985088,-8.02229118347168
1677511944.0303621,987136,-8.044564247131348
1677511946.849903,991232,-8.041630744934082
1677511948.1433737,993280,-7.996067047119141
1677511952.2438042,999424,-7.959025859832764
1677511953.7789657,1001472,-7.974976539611816
1677511955.0603757,1003520,-8.011234283447266
1677511957.8300576,1007616,-8.02553653717041
1677511961.944277,1013760,-7.967131614685059
1677511967.5317435,1021952,-7.929873943328857
1677511973.141136,1030144,-7.946502685546875
1677511974.4295027,1032192,-7.954067230224609
1677511978.5555854,1038336,-7.952419757843018
1677511982.619672,1044480,-7.906466960906982
1677511984.184138,1046528,-7.903265476226807
1677511985.4687955,1048576,-7.906610488891602
1677511987.015375,1050624,-7.913238525390625
1677511988.284958,1052672,-7.912517547607422
1677511989.5481644,1054720,-7.908888339996338
1677511993.8411486,1060864,-7.9286980628967285
1677511995.1197436,1062912,-7.964539527893066
1677511996.3988419,1064960,-7.981343746185303
1677511997.930267,1067008,-8.009838104248047
1677512002.0029185,1073152,-8.248539924621582
1677512011.8192587,1087488,-8.738303184509277
1677512015.9514937,1093632,-8.534785270690918
1677512017.471459,1095680,-8.47506046295166
1677512020.004658,1099776,-8.41660213470459
1677512021.5394685,1101824,-8.365904808044434
1677512022.8106558,1103872,-8.342331886291504
1677512025.6212304,1107968,-8.20489501953125
1677512028.4724982,1112064,-8.087396621704102
1677512031.2873058,1116160,-8.012479782104492
1677512034.1168067,1120256,-7.970310211181641
1677512035.3935769,1122304,-7.955386638641357
1677512039.4963648,1128448,-8.070164680480957
1677512042.3139338,1132544,-8.063443183898926
1677512046.4621098,1138688,-7.886816501617432
1677512048.0401108,1140736,-7.875025749206543
1677512056.2839875,1153024,-7.864779949188232
1677512057.8464618,1155072,-7.856827735900879
1677512059.1457179,1157120,-7.849903583526611
1677512064.8170493,1165312,-7.8331618309021
1677512068.963221,1171456,-7.816153049468994
1677512071.7762933,1175552,-7.843501567840576
1677512075.8216767,1181696,-7.84520149230957
1677512081.2228413,1189888,-7.868319034576416
1677512086.834559,1198080,-7.871758460998535
1677512088.373324,1200128,-7.856373310089111
1677512089.652233,1202176,-7.848519802093506
1677512092.5210965,1206272,-7.817739486694336
1677512095.3432713,1210368,-7.833353042602539
1677512096.6936805,1212416,-7.847616195678711
1677512097.9864109,1214464,-7.866866111755371
1677512100.8517356,1218560,-7.875665664672852
1677512103.654025,1222656,-7.8427605628967285
1677512104.9116561,1224704,-7.84291934967041
1677512106.4723754,1226752,-7.853213310241699
1677512107.7401683,1228800,-7.863875865936279
1677512111.784794,1234944,-7.833837509155273
1677512113.303246,1236992,-7.810128211975098
1677512120.1040072,1247232,-7.8546833992004395
1677512122.8568637,1251328,-7.864959716796875
1677512126.861551,1257472,-7.867188453674316
1677512128.1166377,1259520,-7.863442420959473
1677512130.9779487,1263616,-7.894930362701416
1677512133.8284209,1267712,-7.995253086090088
1677512136.6388044,1271808,-8.053847312927246
1677512139.4546957,1275904,-7.975941181182861
1677512140.7194545,1277952,-7.955778121948242
1677512144.9187822,1284096,-7.8687005043029785
1677512147.737504,1288192,-7.837172031402588
1677512149.2690325,1290240,-7.829538345336914
1677512154.5473661,1298432,-7.797673225402832
1677512160.1584811,1306624,-8.176569938659668
1677512164.1895127,1312768,-8.309021949768066
1677512165.4490366,1314816,-8.216473579406738
