Wall time,Step,Value
1677504415.9816742,8192,-785.3506469726562
1677504417.5834246,10240,-685.0243530273438
1677504425.9806583,22528,-234.52310180664062
1677504431.9311483,30720,-163.96119689941406
1677504433.3022707,32768,-144.02769470214844
1677504437.5575237,38912,-90.35257720947266
1677504439.1707177,40960,-83.71587371826172
1677504440.512044,43008,-78.87388610839844
1677504443.3643436,47104,-70.75700378417969
1677504444.6992714,49152,-65.9607925415039
1677504449.4222257,55296,-46.684452056884766
1677504450.7793612,57344,-44.68461227416992
1677504459.5269225,69632,-35.30494689941406
1677504466.8349748,79872,-28.05398178100586
1677504469.790641,83968,-26.757871627807617
1677504479.7680113,98304,-23.539875030517578
1677504481.4069963,100352,-23.207304000854492
1677504482.704726,102400,-22.654150009155273
1677504485.6694567,106496,-22.307809829711914
1677504490.0613146,112640,-21.852514266967773
1677504494.543883,118784,-21.130016326904297
1677504498.9799526,124928,-20.43212127685547
1677504500.6898174,126976,-20.225812911987305
1677504502.1107273,129024,-20.267684936523438
1677504503.923847,131072,-20.169387817382812
1677504507.095878,135168,-19.991512298583984
1677504508.4082487,137216,-19.981365203857422
1677504509.7709415,139264,-19.782032012939453
1677504511.4318805,141312,-19.723814010620117
1677504514.3905013,145408,-19.63760757446289
1677504515.7349544,147456,-19.598365783691406
1677504524.325417,159744,-19.626127243041992
1677504527.1036365,163840,-19.486366271972656
1677504528.6831918,165888,-19.389249801635742
1677504531.216113,169984,-19.238683700561523
1677504535.6207032,176128,-20.02653694152832
1677504541.1215262,184320,-21.697458267211914
1677504555.1371772,204800,-19.917682647705078
1677504556.7183177,206848,-19.75628662109375
1677504560.9390123,212992,-19.347341537475586
1677504565.174895,219136,-19.226919174194336
1677504566.8265731,221184,-19.38239288330078
1677504569.8742688,225280,-23.922164916992188
1677504579.7952237,239616,-50.32740020751953
1677504587.026159,249856,-49.37422561645508
1677504592.7929785,258048,-51.297969818115234
1677504594.32754,260096,-47.44093704223633
1677504596.9196954,264192,-42.57039260864258
1677504599.774483,268288,-39.49501419067383
1677504601.3965158,270336,-39.771514892578125
1677504608.415079,280576,-36.302852630615234
1677504609.7011623,282624,-35.178340911865234
1677504620.1594365,296960,-28.749534606933594
