Wall time,Step,Value
1677518058.2788386,8192,-123.19131469726562
1677518059.785144,10240,-106.15782928466797
1677518067.8908165,22528,-33.903751373291016
1677518073.560034,30720,-16.799718856811523
1677518074.8372355,32768,-14.418252944946289
1677518078.9709077,38912,-10.952442169189453
1677518080.5009894,40960,-10.123466491699219
1677518081.7444348,43008,-9.214584350585938
1677518084.5523362,47104,-7.975386619567871
1677518085.7980359,49152,-7.648646831512451
1677518090.0646422,55296,-7.081697940826416
1677518091.3110223,57344,-6.821773052215576
1677518099.3888333,69632,-6.064487934112549
1677518106.2008555,79872,-5.573322296142578
1677518108.9502532,83968,-5.434757232666016
1677518118.626077,98304,-4.889819145202637
1677518120.13208,100352,-4.863616466522217
1677518121.3988214,102400,-4.841379165649414
1677518124.1621912,106496,-4.788248538970947
1677518128.222331,112640,-4.784465789794922
1677518132.330249,118784,-4.717002868652344
1677518136.4066663,124928,-4.593585014343262
1677518137.9440465,126976,-4.579046726226807
1677518139.218262,129024,-4.59222412109375
1677518140.7180762,131072,-4.578446388244629
1677518143.5295417,135168,-4.564196586608887
1677518144.820221,137216,-4.569096088409424
1677518146.0962865,139264,-4.559296131134033
1677518147.5923505,141312,-4.564203262329102
1677518150.3907094,145408,-4.594939231872559
1677518151.657282,147456,-4.587708950042725
1677518159.7754712,159744,-4.667943000793457
1677518162.537834,163840,-4.629467964172363
1677518164.0449362,165888,-4.6154704093933105
1677518166.623682,169984,-4.527475357055664
1677518170.9564512,176128,-4.485071182250977
1677518176.2096536,184320,-4.428773880004883
1677518189.8228014,204800,-5.991090774536133
1677518191.3306963,206848,-5.336050033569336
1677518195.4235094,212992,-5.245230674743652
1677518199.4983246,219136,-5.171326637268066
1677518201.010534,221184,-5.209774971008301
1677518203.7840397,225280,-5.178899765014648
1677518213.1736798,239616,-5.319084644317627
1677518220.1968367,249856,-5.076901912689209
1677518225.8960009,258048,-4.868155479431152
1677518227.4387472,260096,-4.789890766143799
1677518229.9677198,264192,-4.679734230041504
1677518232.802012,268288,-4.6211042404174805
1677518234.3405702,270336,-4.626699447631836
1677518241.258906,280576,-4.509309768676758
1677518242.5431888,282624,-4.480589389801025
1677518252.2565145,296960,-6.759750843048096
1677518254.997707,301056,-7.324350833892822
