Wall time,Step,Value
1677507876.070885,8192,-489.2095642089844
1677507877.7037923,10240,-448.5488586425781
1677507885.9988203,22528,-111.33014678955078
1677507891.7398722,30720,-60.48057556152344
1677507893.0364017,32768,-55.25499725341797
1677507897.162843,38912,-42.79581069946289
1677507898.6939893,40960,-40.967010498046875
1677507899.9857287,43008,-36.64773941040039
1677507902.8094766,47104,-29.426334381103516
1677507904.1174035,49152,-27.700176239013672
1677507908.5440266,55296,-22.59366798400879
1677507909.8622909,57344,-21.318519592285156
1677507918.2516289,69632,-16.432462692260742
1677507925.1810973,79872,-14.41408920288086
1677507928.0522966,83968,-13.977890014648438
1677507937.886383,98304,-13.167647361755371
1677507939.5149183,100352,-13.069297790527344
1677507940.8092997,102400,-13.047890663146973
1677507943.6273503,106496,-12.923614501953125
1677507947.7543752,112640,-12.842602729797363
1677507952.0646942,118784,-12.992520332336426
1677507956.1580048,124928,-14.1869535446167
1677507957.69385,126976,-14.413064002990723
1677507958.968434,129024,-14.463205337524414
1677507960.5848799,131072,-14.446495056152344
1677507963.4268582,135168,-13.774566650390625
1677507964.7050412,137216,-13.653592109680176
1677507965.978486,139264,-13.580476760864258
1677507967.4903598,141312,-13.494125366210938
1677507970.4227054,145408,-13.464037895202637
1677507971.7130044,147456,-13.41445541381836
1677507980.0417445,159744,-13.165777206420898
1677507982.8667018,163840,-13.128341674804688
1677507984.4333622,165888,-13.154170989990234
1677507986.9851964,169984,-13.189291954040527
1677507991.3265972,176128,-16.208698272705078
1677507996.7366116,184320,-31.475759506225586
1677508010.625423,204800,-21.249223709106445
1677508012.1674397,206848,-20.542037963867188
1677508016.3104675,212992,-18.7152099609375
1677508020.469007,219136,-18.12618637084961
1677508021.9856942,221184,-17.79104995727539
1677508024.8129206,225280,-17.912036895751953
1677508034.2749722,239616,-20.614423751831055
1677508041.3001695,249856,-17.214052200317383
1677508047.0031364,258048,-15.661191940307617
1677508048.5165112,260096,-15.385863304138184
1677508051.120955,264192,-14.98104476928711
1677508053.9460185,268288,-14.82686710357666
1677508055.4665232,270336,-14.776293754577637
1677508062.378742,280576,-14.118996620178223
1677508063.648926,282624,-14.008527755737305
1677508073.4257808,296960,-13.250555038452148
1677508076.307565,301056,-13.122814178466797
1677508077.5788417,303104,-13.058320999145508
1677508081.6817477,309248,-12.964506149291992
1677508091.5810795,323584,-13.729419708251953
